profession,job_length,state,homeownership, annual_income ,debt_to_income,earliest_credit_line,total_credit_lines,total_credit_limit, total_credit_utilized ,loan_purpose, loan_amount,term,interest_rate, installment , total_payment , 10% of monthly , Bitcoin strategy ,issue_month
correctional officer ,2,AZ,MORTGAGE,"40,000",23.64,2012,6,190511,"18,056",credit_card,18000,60,7.35,359,24615,36,,18-Jan
cpms operations administrator,3,TX,RENT,"62,000",23.52,2012,15,75717,"51,660",other,20000,36,10.9,654,26540,65,,18-Mar
sales executive,2,UT,RENT,"30,000",23.16,2012,13,56580,"29,844",debt_consolidation,10000,36,6.72,308,12016,31,,18-Jan
shop manager ,8,FL,OWN,"28,100",23.15,2012,7,21326,"13,677",debt_consolidation,12600,36,13.59,428,17737,43,,18-Jan
corrections officer,3,MI,MORTGAGE,"49,000",23.04,2012,16,193054,"48,846",debt_consolidation,10000,60,17.09,249,18545,25,,18-Jan
pharmacy tech,3,NJ,OWN,"45,000",22.96,2012,10,47214,"39,457",debt_consolidation,28000,60,25.82,835,64148,84,,18-Feb
driver,4,CA,RENT,"75,000",22.96,2012,7,52118,"31,505",credit_card,33600,36,12.62,"1,126",46321,113,,18-Jan
intake coordinaor,4,VT,MORTGAGE,"45,000",22.77,2012,10,210944,"43,925",credit_card,6500,36,15.05,225,9435,23,,18-Feb
repairman,4,OH,MORTGAGE,"40,000",21.6,2012,6,60911,"54,828",debt_consolidation,25000,36,15.05,867,36288,87,,18-Feb
nail technician ,2,FL,RENT,"25,000",21.56,2012,11,29325,"18,109",debt_consolidation,12000,36,15.05,416,17418,42,,18-Jan
,,MI,OWN,"55,700",21.18,2012,6,45149,"33,418",other,15000,36,12.62,503,20679,50,,18-Feb
plant protection technician ,1,OH,RENT,"42,000",21.09,2012,20,54355,"27,511",credit_card,10000,36,7.97,313,12391,31,,18-Jan
mail carrier,5,MI,RENT,"36,000",20.98,2012,11,50999,"14,555",major_purchase,28600,60,26.77,869,66881,87,,18-Mar
teacher,4,FL,OWN,"75,000",20.9,2012,26,126100,"60,258",credit_card,25000,60,15.05,595,43813,60,,18-Jan
sound and comm installer,6,CA,RENT,"60,000",20.78,2012,5,47490,"18,458",debt_consolidation,15000,36,20,557,24000,56,,18-Jan
teacher,2,FL,MORTGAGE,"50,000",20.72,2012,31,63637,"54,494",credit_card,14000,60,18.45,359,26915,36,,18-Mar
civil engineer ,3,MS,MORTGAGE,"63,695",20.5,2012,15,239529,"50,896",debt_consolidation,20000,60,19.03,519,39030,52,,18-Feb
buyer,10,CA,RENT,"75,000",20.43,2012,22,103351,"88,424",debt_consolidation,15000,36,16.01,527,22205,53,,18-Feb
,,OH,OWN,"42,000",20.23,2012,4,36381,"22,570",debt_consolidation,10000,36,15.04,347,14512,35,,18-Mar
corrections officer,3,NY,RENT,"63,000",19.71,2012,23,48347,"35,991",credit_card,9600,36,14.08,328,13655,33,,18-Jan
graphic designer,2,NY,OWN,"45,000",19.47,2012,15,43896,"33,962",credit_card,6500,36,10.41,211,8530,21,,18-Mar
insurance producer,1,LA,MORTGAGE,"31,000",19.47,2012,14,51895,"28,418",small_business,15000,36,7.35,466,18308,47,,18-Feb
nurse,1,FL,MORTGAGE,"65,000",19.42,2012,16,290232,"95,416",other,5000,36,20,186,8000,19,,18-Jan
truck driver,0,TN,RENT,"75,250",19.41,2012,24,72746,"27,905",debt_consolidation,5000,36,13.58,170,7037,17,,18-Mar
nursing assistant,3,CA,OWN,"43,500",19.34,2012,16,82655,"31,487",debt_consolidation,7800,36,7.34,242,9518,24,,18-Mar
auto paint tech,5,NC,MORTGAGE,"110,000",19.29,2012,20,100610,"65,560",credit_card,20000,60,10.91,434,30910,43,,18-Feb
occupational therapist,4,CO,MORTGAGE,"54,000",19.22,2012,5,258480,"69,078",debt_consolidation,4000,36,6.07,122,4728,12,,18-Mar
sales consultant,4,SC,MORTGAGE,"63,000",19.05,2012,14,249753,"37,846",credit_card,12000,60,10.91,260,18546,26,,18-Feb
operator ,3,KY,MORTGAGE,"35,000",18.96,2012,11,68273,"12,299",credit_card,10000,36,15.05,347,14515,35,,18-Feb
machinist,5,WA,RENT,"60,000",18.8,2012,18,35994,"24,325",debt_consolidation,18000,36,13.59,612,25339,61,,18-Feb
auditor,6,GA,MORTGAGE,"55,000",18.67,2012,19,194350,"24,931",credit_card,14400,60,10.9,312,22248,31,,18-Mar
lead parts technician ,4,IN,MORTGAGE,"97,000",18.61,2012,26,257483,"55,837",credit_card,25000,60,11.99,556,39988,56,,18-Feb
quarry manager ,7,CA,RENT,"104,000",18.6,2012,13,72097,"51,185",debt_consolidation,35000,60,15.04,833,61320,83,,18-Mar
aro,10,NY,OWN,"59,000",18.26,2012,17,65208,"42,827",other,6000,36,11.99,199,8158,20,,18-Jan
insurance rep,4,PA,RENT,"35,000",18.18,2012,10,30031,"21,314",debt_consolidation,5000,36,16.02,176,7403,18,,18-Feb
electrician,2,NV,RENT,"170,000",18.14,2012,25,132340,"79,560",other,40000,36,23.87,"1,567",68644,157,,18-Mar
professional truck driver,1,AZ,RENT,"50,000",18.07,2012,20,81361,"40,609",debt_consolidation,20000,36,9.44,640,25664,64,,18-Jan
pm/pdm tech,10,CA,RENT,"105,000",17.79,2012,12,72492,"39,625",debt_consolidation,16000,60,19.03,415,31224,42,,18-Feb
lamination,2,IN,MORTGAGE,"60,000",17.64,2012,30,184275,"22,540",debt_consolidation,3000,36,12.62,101,4136,10,,18-Jan
pharmacist ,0,NV,RENT,"126,000",17.63,2012,12,244082,"256,297",major_purchase,30000,60,20,795,60000,79,,18-Jan
fueler ,3,CA,RENT,"55,000",17.59,2012,15,42675,"15,321",credit_card,15000,36,7.35,466,18308,47,,18-Jan
criminal finanacial obligaions senor,3,AZ,RENT,"36,000",17.5,2012,9,222303,"17,964",other,20000,36,19.03,733,31418,73,,18-Jan
shipping ,4,FL,RENT,"30,000",17.5,2012,11,49100,"6,296",credit_card,5600,36,6.07,171,6620,17,,18-Mar
director of property assets and finance,7,TN,RENT,"70,000",17.35,2012,22,97512,"61,626",other,16000,36,7.96,501,19821,50,,18-Mar
superintendent ,10,TX,OWN,"200,000",17.15,2012,17,155780,"118,084",credit_card,10000,36,5.32,301,11596,30,,18-Feb
driver,2,CA,RENT,"39,000",17.13,2012,13,44825,"19,999",home_improvement,5200,36,11.98,173,7069,17,,18-Mar
shipping and receiving ,10,MI,MORTGAGE,"32,760",17,2012,19,142051,"8,506",debt_consolidation,12000,36,10.41,390,15748,39,,18-Mar
clinic manager,10,MS,MORTGAGE,"29,000",16.89,2012,20,124936,"8,720",debt_consolidation,5500,36,17.09,196,8320,20,,18-Feb
computer operator specialist,8,CA,MORTGAGE,"75,000",16.82,2012,24,105305,"46,530",debt_consolidation,15000,36,9.92,483,19464,48,,18-Mar
engineer,10,OH,MORTGAGE,"47,700",16.78,2012,16,70988,"70,229",debt_consolidation,12000,36,11.99,399,16316,40,,18-Jan
driver/crane opeator,5,IL,RENT,"60,000",16.72,2012,11,242220,"30,552",debt_consolidation,8000,36,7.96,251,9910,25,,18-Mar
department head,3,NE,RENT,"37,000",16.57,2012,14,47700,"10,030",other,12000,36,9.44,384,15398,38,,18-Jan
waitress,3,MA,RENT,"60,000",16.5,2012,9,59336,"39,642",other,10000,36,14.07,342,14221,34,,18-Mar
operations manager,6,NV,RENT,"62,400",16.44,2012,14,39120,"20,357",credit_card,12000,36,15.05,416,17418,42,,18-Jan
credit manager,10,IN,MORTGAGE,"80,000",16.42,2012,14,225355,"28,864",debt_consolidation,22000,60,14.08,513,37488,51,,18-Feb
loan officer,5,CA,MORTGAGE,"100,000",16.28,2012,12,463313,"44,272",debt_consolidation,8000,36,9.93,258,10383,26,,18-Jan
cash poster,3,FL,MORTGAGE,"38,000",16.27,2012,18,201244,"15,908",debt_consolidation,17600,60,15.04,419,30835,42,,18-Mar
manufacturing associate,2,RI,RENT,"95,000",16.07,2012,17,132668,"86,894",credit_card,16000,36,9.92,516,20762,52,,18-Feb
dueno,2,MO,RENT,"28,711",16.05,2012,10,17600,"11,446",credit_card,15000,36,15.05,520,21773,52,,18-Feb
rn,2,NC,MORTGAGE,"77,000",16.04,2012,23,188426,"59,514",credit_card,7200,36,12.62,241,9926,24,,18-Feb
cnc programmer,3,CA,RENT,"49,000",15.6,2012,10,51968,"27,101",credit_card,4000,36,6.07,122,4728,12,,18-Mar
farmer,5,MN,RENT,"60,000",15.26,2012,12,39195,"11,985",debt_consolidation,5000,36,13.59,170,7039,17,,18-Jan
senior product manager,2,WA,RENT,"130,000",15.07,2012,11,104243,"53,484",debt_consolidation,12000,36,7.96,376,14866,38,,18-Mar
managers ,5,TX,MORTGAGE,"46,996",15.04,2012,22,112112,"21,705",debt_consolidation,19350,36,11.99,643,26310,64,,18-Jan
compliance supervisor,0,NC,RENT,"58,000",14.92,2012,18,50429,"42,778",credit_card,7000,36,6.08,213,8277,21,,18-Feb
banker,5,NJ,RENT,"75,000",14.83,2012,9,38958,"22,488",debt_consolidation,20000,36,10.9,654,26540,65,,18-Mar
manager,10,SC,MORTGAGE,"113,000",14.76,2012,16,882897,"40,417",debt_consolidation,25000,36,6.08,761,29560,76,,18-Jan
assistant,3,CA,RENT,"28,000",14.66,2012,4,10700,"7,659",credit_card,10000,36,16.02,352,14806,35,,18-Feb
,,CA,OWN,"14,000",14.41,2012,7,31200,"5,517",home_improvement,3000,36,7.97,94,3717,9,,18-Feb
manager,2,AZ,RENT,"30,000",14.32,2012,7,25687,"10,351",debt_consolidation,5000,36,10.91,163,6637,16,,18-Jan
soldier,2,NY,RENT,"72,000",14.18,2012,17,66400,"40,556",other,28000,36,6,831,33040,83,,18-Mar
public safety officer,2,NY,OWN,"36,300",13.95,2012,5,15892,"14,577",other,4800,36,17.09,171,7261,17,,18-Jan
vet assistant,4,CA,RENT,"15,000",13.92,2012,12,43247,"35,220",credit_card,4300,36,10.91,141,5707,14,,18-Feb
mechanical sustaining engineer,2,MA,RENT,"72,000",13.89,2012,22,141141,"58,683",major_purchase,5400,36,6.08,164,6385,16,,18-Jan
receptionist ,4,NJ,MORTGAGE,"40,000",13.68,2012,8,163465,"11,734",credit_card,10000,36,10.91,327,13273,33,,18-Mar
assistant manager,0,KY,RENT,"35,000",13.48,2012,17,64150,"40,355",debt_consolidation,7200,36,6.71,221,8649,22,,18-Mar
assistant ,10,NV,RENT,"45,000",13.33,2012,14,36067,"9,942",major_purchase,5000,36,10.42,162,6563,16,,18-Jan
maintenance,3,IN,MORTGAGE,"33,000",13.24,2012,10,14800,"10,147",debt_consolidation,20000,36,14.08,684,28448,68,,18-Feb
finisher,6,NE,MORTGAGE,"43,000",13.23,2012,14,30977,"13,474",debt_consolidation,16000,60,11.99,356,25592,36,,18-Jan
teacher,0,IL,RENT,"46,000",12.99,2012,16,87000,"104,325",debt_consolidation,4000,36,17.47,144,6096,14,,18-Feb
network security engineer,5,CA,RENT,"103,000",12.87,2012,15,82600,"29,984",other,10000,36,6.72,308,12016,31,,18-Feb
loan officer ,2,AZ,RENT,"37,500",12.71,2012,16,32950,"12,109",credit_card,3100,36,12.61,104,4273,10,,18-Mar
forklift operator,4,CA,MORTGAGE,"50,000",12.67,2012,19,362235,"20,414",debt_consolidation,14000,36,10.91,458,18582,46,,18-Jan
recruiter ,1,CA,RENT,"50,000",12.62,2012,11,36245,"16,875",debt_consolidation,9500,36,9.92,306,12327,31,,18-Mar
product expert,1,NH,RENT,"50,000",12.51,2012,5,57979,"26,952",other,8000,36,7.35,248,9764,25,,18-Feb
server,1,AL,RENT,"25,000",11.76,2012,6,37750,"38,758",debt_consolidation,10000,36,16.02,352,14806,35,,18-Jan
neighborhood & housing specialist,3,NJ,RENT,"45,000",11.68,2012,9,24900,"17,234",debt_consolidation,10000,36,10.9,327,13270,33,,18-Mar
personal banker ,2,FL,MORTGAGE,"55,000",11.5,2012,16,230889,"32,952",debt_consolidation,16000,60,18.06,407,30448,41,,18-Feb
analyst,1,TX,MORTGAGE,"160,000",11.4,2012,10,376000,"49,679",moving,15000,36,13.59,510,21116,51,,18-Feb
sales ,3,NV,RENT,"70,000",11.3,2012,4,27231,"15,041",other,3200,36,13.59,109,4505,11,,18-Feb
administrative,3,AK,OWN,"125,000",11.29,2012,11,60231,"32,584",debt_consolidation,10000,36,16.01,352,14803,35,,18-Mar
electrical ,1,MI,RENT,"20,000",11.28,2012,3,5800,"5,679",other,5475,36,20.39,205,8824,20,,18-Mar
manager ,4,NC,MORTGAGE,"67,790",11.26,2012,5,250273,"30,914",debt_consolidation,40000,60,16.02,973,72040,97,,18-Jan
operator,9,TX,MORTGAGE,"81,000",11.07,2012,19,179394,"24,939",debt_consolidation,5500,36,10.91,180,7300,18,,18-Feb
engineer,1,GA,RENT,"80,000",11.03,2012,10,141379,"29,877",major_purchase,40000,36,5.32,"1,205",46384,120,,18-Jan
service manager,2,VA,MORTGAGE,"80,000",10.85,2012,9,31960,"13,169",debt_consolidation,7000,36,13.58,238,9852,24,,18-Mar
patternmaker / designer,6,CA,RENT,"96,000",10.66,2012,8,57200,"25,733",credit_card,20000,36,6.72,615,24032,61,,18-Feb
sales representative,4,MA,RENT,"45,000",10.66,2012,14,55100,"15,471",debt_consolidation,12000,36,6.72,369,14419,37,,18-Jan
ptl,5,NY,RENT,"45,000",10.6,2012,20,46100,"15,478",credit_card,10000,36,6.08,305,11824,30,,18-Feb
driver,10,GA,MORTGAGE,"80,000",10.44,2012,16,195508,"11,655",debt_consolidation,4500,36,9.93,145,5841,15,,18-Jan
technician,9,PA,MORTGAGE,"110,000",10.4,2012,13,242358,"38,650",credit_card,20000,36,11.98,664,27188,66,,18-Feb
systems analyst,6,CT,RENT,"90,000",10.33,2012,6,38622,"33,267",debt_consolidation,17000,60,18.45,436,32683,44,,18-Mar
admin,1,OR,MORTGAGE,"106,500",10.3,2012,18,355770,"46,659",debt_consolidation,10000,36,7.96,313,12388,31,,18-Mar
graphic designer,1,OR,OWN,"35,000",10.29,2012,7,20960,"12,788",debt_consolidation,12000,36,11.98,398,16313,40,,18-Mar
rx supervisor,0,FL,RENT,"20,400",10.26,2012,9,13180,"7,327",other,10000,36,14.07,342,14221,34,,18-Mar
hardware engineer,3,OH,RENT,"71,000",10.23,2012,14,38950,"35,446",other,27700,60,17.09,690,51370,69,,18-Jan
delivery driver,10,CO,RENT,"40,000",10.17,2012,6,15262,"7,461",debt_consolidation,5000,36,17.09,178,7564,18,,18-Jan
school bus driver,3,TN,RENT,"58,380",10.11,2012,17,42966,"20,075",debt_consolidation,5000,36,7.97,157,6196,16,,18-Feb
construction manager,8,GA,MORTGAGE,"99,000",9.91,2012,20,231608,"26,245",debt_consolidation,15700,60,29.69,505,39007,50,,18-Mar
cdi specialist,3,CA,RENT,"60,000",9.89,2012,15,45512,"13,437",other,3000,36,10.41,97,3937,10,,18-Feb
driver,0,IN,MORTGAGE,"37,000",9.76,2012,10,102543,"12,791",debt_consolidation,4600,36,16.01,162,6809,16,,18-Mar
account supervisor,10,MA,RENT,"53,000",9.76,2012,12,23699,"11,230",debt_consolidation,6025,36,12.62,202,8306,20,,18-Jan
senior systems analyst,6,WA,RENT,"115,000",9.71,2012,19,96265,"37,068",debt_consolidation,7200,36,10.9,235,9554,24,,18-Mar
commercial credit analyst,4,NY,RENT,"48,000",9.6,2012,11,71792,"64,456",credit_card,3600,36,11.98,120,4894,12,,18-Mar
custom protection officer,2,NY,RENT,"52,000",9.55,2012,15,36949,"15,406",debt_consolidation,23625,36,21.45,896,38828,90,,18-Jan
sales,5,TX,OWN,"27,000",9.47,2012,20,44600,"13,764",other,12850,36,11.98,427,17468,43,,18-Mar
assistant ,5,NY,RENT,"60,000",9.24,2012,33,33700,"11,870",other,20000,36,15.05,694,29030,69,,18-Mar
forklift operator ,2,PA,RENT,"45,000",9.15,2012,6,26930,"8,198",debt_consolidation,5000,36,7.34,155,6101,16,,18-Mar
production associate ,0,OH,MORTGAGE,"31,300",8.78,2012,7,89487,"8,759",debt_consolidation,4000,36,5.32,120,4638,12,,18-Feb
country manager,6,CA,RENT,"106,000",8.74,2012,11,48800,"25,853",other,35000,36,13.59,"1,189",49270,119,,18-Feb
site superintendent,6,NY,RENT,"120,000",8.74,2012,14,67700,"21,520",other,40000,60,11.99,890,63980,89,,18-Jan
safety manager,3,GA,RENT,"60,000",8.71,2012,19,90300,"9,767",debt_consolidation,10000,36,7.97,313,12391,31,,18-Jan
grooming apprentice ,1,OR,MORTGAGE,"12,480",8.65,2012,7,25000,"1,734",major_purchase,5000,36,7.34,155,6101,16,,18-Mar
director of operations,3,GA,RENT,"100,000",8.59,2012,8,30633,"26,536",credit_card,18000,36,19.42,664,28487,66,,18-Mar
home health aide ,1,NY,RENT,"50,000",8.45,2012,11,23600,"13,018",other,6400,36,14.08,219,9103,22,,18-Feb
receptionist,0,MT,RENT,"47,000",8.45,2012,11,12800,"7,662",debt_consolidation,6500,36,13.59,221,9150,22,,18-Jan
overnight stocker,0,TX,RENT,"50,000",8.38,2012,14,37300,"16,232",credit_card,20000,36,10.41,649,26246,65,,18-Mar
barista,1,FL,RENT,"34,000",8.34,2012,4,12000,"7,099",other,5000,36,11.98,166,6797,17,,18-Mar
lead floor tech,0,AL,OWN,"25,000",8.31,2012,4,6500,"2,499",debt_consolidation,10000,36,16.02,352,14806,35,,18-Feb
plumber ,0,TX,RENT,"40,000",8.04,2012,11,19900,"6,092",credit_card,7700,36,10.91,252,10220,25,,18-Feb
,,CT,RENT,"33,000",7.89,2012,5,10100,"3,975",major_purchase,2000,36,6.72,62,2403,6,,18-Feb
office manager,10,FL,MORTGAGE,"38,000",7.8,2012,13,25700,"4,831",house,12000,36,7.97,376,14869,38,,18-Jan
architect,8,OH,MORTGAGE,"85,000",7.79,2012,19,182935,"14,274",debt_consolidation,35000,60,15.04,833,61320,83,,18-Mar
business development ,4,CO,MORTGAGE,"60,000",7.46,2012,12,28125,"18,720",small_business,12000,60,26.3,361,27780,36,,18-Jan
electrical engineer,10,CA,RENT,"70,000",7.25,2012,6,17400,"1,642",debt_consolidation,15000,36,18.06,543,23127,54,,18-Feb
crew,0,CA,RENT,"20,000",7.14,2012,20,52650,"15,389",debt_consolidation,5000,36,11.99,166,6799,17,,18-Jan
supervisor,8,TX,RENT,"47,500",6.9,2012,11,9500,"6,204",debt_consolidation,4350,36,11.98,144,5913,14,,18-Mar
welder/fabricator,8,GA,OWN,"50,960",6.88,2012,10,177546,"8,248",other,10000,36,7.97,313,12391,31,,18-Jan
teacher,9,AL,MORTGAGE,"50,622",5.95,2012,23,168011,"71,721",debt_consolidation,5600,36,9.44,179,7186,18,,18-Jan
humanitarian international worker,4,CT,RENT,"89,206",5.8,2012,8,66900,"52,038",credit_card,9000,36,13.58,306,12667,31,,18-Mar
project coordinator,2,NY,RENT,"55,000",5.78,2012,9,12500,"10,782",credit_card,6000,36,11.98,199,8156,20,,18-Feb
assistant office manager,3,AZ,RENT,"30,000",5.68,2012,9,23700,"8,511",debt_consolidation,15000,36,11.98,498,20391,50,,18-Mar
retail sales,2,CA,RENT,"62,000",5.65,2012,11,18600,"6,134",credit_card,4000,36,13.59,136,5631,14,,18-Jan
organizer,1,MA,RENT,"43,000",5.64,2012,14,39900,"32,387",credit_card,10000,36,16.01,352,14803,35,,18-Mar
construction worker,10,NY,RENT,"100,000",5.63,2012,8,29361,"14,280",credit_card,10000,60,13.59,231,16795,23,,18-Jan
clerk,3,GA,OWN,"25,000",5.57,2012,6,7100,"3,205",car,8000,36,10.91,262,10618,26,,18-Feb
airman ,7,MD,RENT,"72,000",5.53,2012,4,32890,"9,531",other,8000,36,7.97,251,9913,25,,18-Feb
police officer,9,NY,RENT,"100,000",5.47,2012,9,22500,"17,350",debt_consolidation,3900,36,9.92,126,5061,13,,18-Mar
cashier ,0,UT,RENT,"17,000",5.44,2012,5,7000,841,other,2800,36,19.03,103,4399,10,,18-Jan
technical support specialist,2,OH,RENT,"31,000",5.27,2012,4,16600,"7,007",home_improvement,22000,36,9.43,704,28224,70,,18-Mar
service techician,10,CA,MORTGAGE,"93,000",5.17,2012,9,387140,"15,083",debt_consolidation,20000,36,10.42,649,26252,65,,18-Feb
manager ,2,OH,RENT,"50,000",5.04,2012,6,8600,"7,176",debt_consolidation,12800,36,9.43,410,16421,41,,18-Mar
package handler ,1,IN,RENT,"30,000",4.96,2012,19,38600,"4,220",debt_consolidation,7200,36,20,268,11520,27,,18-Feb
software engineer ,6,MO,OWN,"82,000",4.83,2012,8,176418,"12,144",debt_consolidation,9000,36,6.08,274,10642,27,,18-Jan
reputation management program manager,4,CA,RENT,"54,000",4.71,2012,9,25200,"8,165",major_purchase,20000,60,10.9,434,30900,43,,18-Mar
owner,10,SC,OWN,"50,000",4.7,2012,4,30400,"10,381",medical,15000,36,6.72,461,18024,46,,18-Feb
mro purchaser,4,IL,MORTGAGE,"33,000",4.69,2012,5,13600,"1,804",other,10000,36,7.34,310,12202,31,,18-Mar
loan consultant,2,CO,RENT,"195,000",4.57,2012,12,47772,"45,325",debt_consolidation,32000,60,12.62,722,52192,72,,18-Feb
,8,CA,OWN,"100,000",4.55,2012,19,258500,"41,835",debt_consolidation,40000,36,7.96,"1,253",49552,125,,18-Mar
audit manager,4,GA,RENT,"92,200",4.25,2012,12,120900,"22,238",credit_card,30000,36,5.32,903,34788,90,,18-Jan
manager,10,WA,RENT,"65,000",3.97,2012,29,97362,"14,490",major_purchase,6000,36,6.08,183,7094,18,,18-Jan
,,WV,OWN,"48,000",3.85,2012,14,49700,"6,272",other,7000,36,6.07,213,8275,21,,18-Mar
chef,0,TX,RENT,"14,400",3.83,2012,2,6300,"2,300",major_purchase,5000,36,15.05,173,7258,17,,18-Feb
customer service,0,IL,OWN,"36,000",3.79,2012,5,15000,"3,166",debt_consolidation,6000,36,16.02,211,8884,21,,18-Jan
ccht,3,MI,RENT,"300,000",3.78,2012,13,56696,"37,087",other,10000,36,14.08,342,14224,34,,18-Jan
lead teller,2,NE,RENT,"30,000",3.64,2012,9,18000,"5,542",car,16000,60,9.93,339,23944,34,,18-Jan
office lead,10,MN,MORTGAGE,"80,000",3.63,2012,9,96700,"7,395",debt_consolidation,6000,36,6.08,183,7094,18,,18-Jan
crew leader,3,FL,OWN,"40,000",3.21,2012,20,13400,976,debt_consolidation,11200,36,11.98,372,15225,37,,18-Mar
school secretary,6,CA,MORTGAGE,"40,000",3.18,2012,7,137309,"4,169",credit_card,6000,36,11.99,199,8158,20,,18-Jan
technician ,10,NV,RENT,"50,000",3.07,2012,3,7900,"3,925",debt_consolidation,4800,36,11.99,159,6527,16,,18-Feb
teller,0,MI,RENT,"19,719",3.04,2012,9,18150,"15,586",credit_card,1000,36,11.99,33,1360,3,,18-Jan
general manager ,2,NJ,RENT,"60,000",2.72,2012,13,4500,"1,106",medical,15000,36,19.03,550,23564,55,,18-Jan
analyst,2,VA,RENT,"125,000",2.47,2012,11,88500,"11,361",credit_card,25000,60,12.61,564,40763,56,,18-Mar
associate,3,NJ,RENT,"200,000",2.28,2012,10,40400,"7,316",debt_consolidation,40000,36,7.35,"1,242",48820,124,,18-Jan
senior merchandising manager,5,OH,MORTGAGE,"51,000",2.21,2012,5,116500,"9,508",debt_consolidation,5000,36,10.9,163,6635,16,,18-Mar
assistant,2,NJ,OWN,"60,000",2.19,2012,15,47970,"23,604",debt_consolidation,2000,36,7.97,63,2478,6,,18-Jan
front end engineer,0,GA,RENT,"85,000",2.06,2012,5,186786,"212,358",credit_card,32000,60,16.02,779,57632,78,,18-Feb
software engineer,3,CA,RENT,"137,000",1.96,2012,25,187300,"7,172",debt_consolidation,4000,36,7.35,124,4882,12,,18-Jan
research assistant,3,CA,RENT,"35,000",1.78,2012,3,17000,"3,458",car,12000,36,9.43,384,15395,38,,18-Mar
customer service,2,CA,RENT,"17,000",1.77,2012,5,1300,399,other,4800,36,11.98,159,6525,16,,18-Mar
manager,5,GA,OWN,"54,000",1.71,2012,6,204035,"4,503",debt_consolidation,8000,36,21.45,303,13148,30,,18-Feb
mortgage servicing specialist,1,MN,MORTGAGE,"332,000",1.24,2012,18,42900,"25,086",other,10000,60,14.08,233,17040,23,,18-Jan
fork lift driver,5,NC,OWN,"60,000",1.2,2012,2,18000,"3,619",credit_card,10000,60,11.99,222,15995,22,,18-Feb
phlebotomist,2,KY,MORTGAGE,"110,000",0.95,2012,9,192647,"2,944",home_improvement,6000,36,7.34,186,7321,19,,18-Feb
investment lead,2,DE,RENT,"93,000",0.32,2012,5,53626,"17,792",other,40000,36,6.72,"1,230",48064,123,,18-Jan
research engineer,1,NY,MORTGAGE,"180,000",0.17,2012,11,474200,415,major_purchase,40000,36,7.35,"1,242",48820,124,,18-Feb
,,TX,RENT, -   ,,2013,5,22500,"11,150",credit_card,18000,36,13.58,612,25333,61,,18-Mar
cigarette selector 2,3,TX,MORTGAGE,"30,000",59.44,2013,9,299231,"84,151",credit_card,7000,36,7.97,219,8674,22,,18-Jan
cleaner,8,RI,RENT,"20,000",55.34,2013,8,45281,"20,671",major_purchase,23500,60,13.59,542,39468,54,,18-Jan
nurse,0,MN,RENT,"85,000",53.25,2013,23,167378,"106,532",debt_consolidation,30150,36,26.3,"1,220",53938,122,,18-Jan
